date,event name,501 3DA,max min,url
2024,PDC Asian Tour,70.7,104.3 27.9,https://leaderboard.dartconnect.com/leaderboard#t-t_666-singles_01_501_si_do-all-all-all-all-all
2024,PDC China Premier League,78.9,95.2 65.0,https://leaderboard.dartconnect.com/leaderboard#t-t_766-singles_01_501_si_do-all-all-all-all-all
2024,Steel Darts Japan 2024,71.0,99.8 35.1,https://leaderboard.dartconnect.com/leaderboard#t-t_814-singles_01_501_si_do-all-all-all-all-all
2024,2024 UK & EU,57.5,76.3 33.8,https://leaderboard.dartconnect.com/leaderboard#t-t_639-singles_01_501_si_do-all-all-all-all-all
2024,Amsterdam Summer Ranking,"",https://leaderboard.dartconnect.com/leaderboard#t-t_832-singles_01_501_si_do-all-all-all-all-all
2024,Asas Adatas 2024,48.5,76.3 24.9,https://leaderboard.dartconnect.com/leaderboard#t-t_657-singles_01_301_di_do-all-all-all-all-all
2024,Asas Adatas Premier 2024,68.7,89.5 52.3,https://leaderboard.dartconnect.com/leaderboard#t-t_660-singles_01_501_si_do-all-all-all-all-all
2024,Athens Darts Union,60.1,87.1 33.0,https://leaderboard.dartconnect.com/leaderboard#t-t_775-singles_01_501_si_do-all-all-all-all-all
2024,Dansk Darts Superliga,69.6,85.4 41.3,https://leaderboard.dartconnect.com/leaderboard#t-t_793-singles_01_501_si_do-all-all-all-all-all
2024,Darts Point Bulls League - BiH,60.1,78.2 44.8,https://leaderboard.dartconnect.com/leaderboard#t-t_802-singles_01_501_si_do-all-all-all-all-all
2024,Darts Point Bulls League - Croatia,64.9,92.5 42.7,https://leaderboard.dartconnect.com/leaderboard#t-t_799-singles_01_501_si_do-all-all-all-all-all
2024,Darts Point Bulls League - Serbia,64.5,83.3 45.2,https://leaderboard.dartconnect.com/leaderboard#t-t_796-singles_01_501_si_do-all-all-all-all-all
2024,Darts Point Bulls League - Slovenia,61.9,81.8 41.7,https://leaderboard.dartconnect.com/leaderboard#t-t_805-singles_01_501_si_do-all-all-all-all-all
2024,EDL Meistrite Liiga,67.8,84.0 50.8,https://leaderboard.dartconnect.com/leaderboard#t-t_624-singles_01_501_si_do-all-all-all-all-all
2024,England Youth Grand Prix,58.7,93.0 26.1,https://leaderboard.dartconnect.com/leaderboard#t-t_787-singles_01_501_si_do-all-all-all-all-all
2024,Hungarian Darts Super League,72.6,95.1 46.9,https://leaderboard.dartconnect.com/leaderboard#t-t_603-singles_01_501_si_do-all-all-all-all-all
2024,JDC Scotland - Gibraltar Qualifiers,53.5,87.5 32.8,https://leaderboard.dartconnect.com/leaderboard#t-t_645-singles_01_501_si_do-all-all-all-all-all
2024,Junior Darts Corporation Advanced Tour,73.3,92.2 50.9,https://leaderboard.dartconnect.com/leaderboard#t-t_681-singles_01_501_si_do-all-all-all-all-all
2024,Junior Darts Corporation Foundation Tour,55.7,156.6 26.6,https://leaderboard.dartconnect.com/leaderboard#t-t_678-singles_01_501_si_do-all-all-all-all-all
2024,Junior Darts Corporation Girls Series,44.9,67.4 21.5,https://leaderboard.dartconnect.com/leaderboard#t-t_687-singles_01_501_si_do-all-all-all-all-all
2024,Latvia Darts Organization,50.9,98.8 16.1,https://leaderboard.dartconnect.com/leaderboard#t-t_715-singles_01_301_di_do-all-all-all-all-all
2024,LP Metal Detecting Series,77.7,100.4 51.9,https://leaderboard.dartconnect.com/leaderboard#t-t_706-singles_01_501_si_do-all-all-all-all-all
2024,Off Grid - On Point 2024,"",https://leaderboard.dartconnect.com/leaderboard#t-t_823-singles_01_501_si_do-all-all-all-all-all
2024,Oranjebar Super Ranking 43,61.4,101.4 25.4,https://leaderboard.dartconnect.com/leaderboard#t-t_606-singles_01_501_si_do-all-all-all-all-all
2024,Oranjebar Super Ranking 44,60.3,96.1 27.0,https://leaderboard.dartconnect.com/leaderboard#t-t_778-singles_01_501_si_do-all-all-all-all-all
2024,PDC Challenge Tour,80.9,104.5 53.0,https://leaderboard.dartconnect.com/leaderboard#t-t_600-singles_01_501_si_do-all-all-all-all-all
2024,PDC Development Tour,71.5,120.1 34.5,https://leaderboard.dartconnect.com/leaderboard#t-t_597-singles_01_501_si_do-all-all-all-all-all
2024,PDC Euro Tour E. Europe Qualifiers,78.0,94.6 53.7,https://leaderboard.dartconnect.com/leaderboard#t-t_739-singles_01_501_si_do-all-all-all-all-all
2024,PDC Europe NEXT GEN,67.3,96.7 31.7,https://leaderboard.dartconnect.com/leaderboard#t-t_633-singles_01_501_di_do-all-all-all-all-all
2024,PDC European Tour Host Nation Qualifiers,73.9,95.1 46.5,https://leaderboard.dartconnect.com/leaderboard#t-t_672-singles_01_501_si_do-all-all-all-all-all
2024,PDC European Tour TCH Qualifiers,90.1,106.6 72.0,https://leaderboard.dartconnect.com/leaderboard#t-t_669-singles_01_501_si_do-all-all-all-all-all
2024,PDC Nordic & Baltic Pro Tour,76.0,100.6 41.8,https://leaderboard.dartconnect.com/leaderboard#t-t_627-singles_01_501_si_do-all-all-all-all-all
2024,PDC Players Championship Tour,91.5,110.7 74.6,https://leaderboard.dartconnect.com/leaderboard#t-t_591-singles_01_501_si_do-all-all-all-all-all
2024,PDC Qualifying School 2024,78.8,104.9 44.1,https://leaderboard.dartconnect.com/leaderboard#t-t_636-singles_01_501_si_do-all-all-all-all-all
